account,ip,server_name,broker,inactive,min_volume,ip_ipv4,
222057797,172.31.22.70,mt4_server_1,ADSS-Live1,1,1,18.130.60.24,
222057801,172.31.18.143,mt4_server_2,ADSS-Live1,1,1,18.130.141.86,
222057730,172.31.44.173,mt4_server_3,ADSS-Live1,1,1,35.178.221.177,
222057728,172.31.29.23,mt4_server_4,ADSS-Live1,1,1,3.8.216.207,
222057152,172.31.30.98,mt4_server_5,ADSS-Live1,1,1,3.8.154.108,
222057751,172.31.31.227,mt4_server_6,ADSS-Live1,1,1,3.8.40.110,
222057151,172.31.22.4,mt4_server_7,ADSS-Live1,1,1,35.177.25.61,
222057267,172.31.24.73,mt4_server_8,ADSS-Live1,1,1,35.178.11.110,
222057149,172.31.25.98,mt4_server_9,ADSS-Live1,1,1,35.177.188.187,
222057873,172.31.29.31,mt4_server_10,ADSS-Live1,1,1,35.178.169.192,
222057937,172.31.22.70,mt4_server_1,ADSS-Live1,1,1,18.130.60.24,
222057875,172.31.18.143,mt4_server_2,ADSS-Live1,1,1,18.130.141.86,
222057942,172.31.44.173,mt4_server_3,ADSS-Live1,1,1,35.178.221.177,
222057943,172.31.29.23,mt4_server_4,ADSS-Live1,1,1,3.8.216.207,
222057982,172.31.30.98,mt4_server_5,ADSS-Live1,1,1,3.8.154.108,
222057985,172.31.31.227,mt4_server_6,ADSS-Live1,1,1,3.8.40.110,
222058036,172.31.22.4,mt4_server_7,ADSS-Live1,1,1,35.177.25.61,
222058034,172.31.24.73,mt4_server_8,ADSS-Live1,1,1,35.178.11.110,
222058031,172.31.25.98,mt4_server_9,ADSS-Live1,1,1,35.177.188.187,
222058035,172.31.29.31,mt4_server_10,ADSS-Live1,1,1,35.178.169.192,
222058041,172.31.22.70,mt4_server_1,ADSS-Live1,1,1,18.130.60.24,
222058100,172.31.18.143,mt4_server_2,ADSS-Live1,1,1,18.130.141.86,
9017161,18.130.236.155,mt4_server_demo,ADSS-Demo,0,1,18.130.236.155,
9017159,18.130.236.155,mt4_server_demo,ADSS-Demo,1,1,18.130.236.155,
9017158,18.130.236.155,mt4_server_demo,ADSS-Demo,1,1,18.130.236.155,
9019080,18.130.236.155,mt4_server_demo,ADSS-Demo,1,1,18.130.236.155,
9020129,18.130.236.155,mt4_server_demo,ADSS-Demo,1,1,18.130.236.155,
9025696,18.130.236.155,mt4_server_demo,ADSS-Demo,0,1,18.130.236.155,
9025697,18.130.236.155,mt4_server_demo,ADSS-Demo,0,1,18.130.236.155,
550240,18.130.236.155,mt4_server_demo,ADSS-Demo,1,1,18.130.236.155,
