9013777,58651278,1.0,add_order
9013777,58657047,1.0,add_order
9013777,58657047,1.0,close_order
9013777,58659621,1.0,add_order
9013777,58659621,1.0,close_order
9013777,58660142,1.0,add_order
9013777,58660142,1.0,close_order
9013777,58660450,1.0,add_order
9013777,58660450,1.0,close_order
9013777,58660732,1.0,add_order
9013777,58660732,1.0,close_order
9013777,58661084,1.0,add_order
9013777,58661084,1.0,close_order
9013777,58662490,1.0,add_order
9013777,58662490,1.0,close_order
9013777,58662609,1.0,add_order
9013777,58662609,1.0,close_order
9013777,58662615,1.0,add_order
9013777,58662615,1.0,close_order
9013777,58662621,1.0,add_order
9013777,58662621,1.0,close_order
9013777,58662628,1.0,add_order
9013777,58662644,1.0,add_order
9013777,58662841,1.0,add_order
9013777,58662841,1.0,close_order
9013777,58662862,1.0,add_order
9013777,58662862,1.0,close_order
9013777,58662999,1.0,add_order,2019-04-10 14:31:38.707863
9013777,58662999,1.0,close_order,2019-04-10 14:31:45.876110
9013777,58663006,1.0,add_order,2019-04-10 14:31:57.300996
9013777,58663006,1.0,close_order,2019-04-10 14:32:06.570359
9013777,58663017,1.0,add_order,2019-04-10 14:32:41.038244
9013777,58663017,1.0,close_order,2019-04-10 14:34:33.227107
9013777,58663127,1.0,add_order,2019-04-10 14:44:06.732067
9013777,58663127,1.0,close_order,2019-04-10 14:44:20.392683
9013777,58663134,1.0,add_order,2019-04-10 14:44:28.188691
9013777,58663134,1.0,close_order,2019-04-10 14:44:45.960061
9013777,58663195,1.0,add_order,2019-04-10 14:48:52.264381
9013777,58663195,1.0,close_order,2019-04-10 14:49:26.181964
9013777,58663746,1.0,add_order,2019-04-10 15:17:19.289008
9013777,58663748,1.0,add_order,2019-04-10 15:17:27.487002
9013777,58663748,1.0,close_order,2019-04-10 15:17:36.023276
9013777,58663746,1.0,close_order,2019-04-10 15:17:45.641899
9013777,58663767,1.0,add_order,2019-04-10 15:17:50.497355
9013777,58663776,1.0,add_order,2019-04-10 15:18:11.656825
9013777,58663776,1.0,close_order,2019-04-10 15:18:27.220835
9013777,58663767,1.0,close_order,2019-04-10 15:18:34.671443
9013777,58663788,1.0,add_order,2019-04-10 15:18:43.096737
9013777,58663793,1.0,add_order,2019-04-10 15:18:52.416749
9013777,58663788,1.0,close_order,2019-04-10 15:19:22.493095
9013777,58663859,1.0,add_order,2019-04-10 15:19:28.335238
9013777,58663859,1.0,close_order,2019-04-10 15:19:38.375987
9013777,58663885,1.0,add_order,2019-04-10 15:19:49.929286
9013777,58663793,1.0,close_order,2019-04-10 15:20:01.990911
9013777,58663939,1.0,add_order,2019-04-10 15:21:45.133328
9013777,58663939,1.0,close_order,2019-04-10 15:21:56.758348
9013777,58665790,1.0,add_order,2019-04-10 16:28:10.867429
9013777,58665790,1.0,close_order,2019-04-10 16:29:38.746670
9013777,58665836,1.0,add_order,2019-04-10 16:29:45.142666
9013777,58665836,1.0,close_order,2019-04-10 16:30:28.699692
9013777,58666482,1.0,add_order,2019-04-10 16:52:58.996389
9013777,58666490,1.0,add_order,2019-04-10 16:53:20.651460
9013777,58666490,1.0,close_order,2019-04-10 16:53:35.564333
9013777,58666482,1.0,close_order,2019-04-10 16:53:49.743245
9013777,58666815,1.0,add_order,2019-04-10 17:13:40.446829
9013777,58666822,1.0,add_order,2019-04-10 17:13:48.004501
9013777,58666815,1.0,close_order,2019-04-10 17:13:51.278455
9013777,58666822,1.0,close_order,2019-04-10 17:13:56.142898
9013777,58666839,1.0,add_order,2019-04-10 17:15:42.525961
9013777,58666846,1.0,add_order,2019-04-10 17:15:52.593245
9013777,58666846,1.0,close_order,2019-04-10 17:16:01.973612
9013777,58666839,1.0,close_order,2019-04-10 17:16:11.890947
9013777,58667435,1.0,add_order,2019-04-10 18:01:00.799195
9013777,58667449,1.0,add_order,2019-04-10 18:01:26.773905
9013777,58667452,1.0,add_order,2019-04-10 18:01:30.767630
9013777,58667455,1.0,add_order,2019-04-10 18:01:32.964892
9013777,58667458,1.0,add_order,2019-04-10 18:01:34.657348
9013777,58667435,1.0,close_order,2019-04-10 18:02:08.921329
9013777,58667455,1.0,close_order,2019-04-10 18:02:13.423892
9013777,58667452,1.0,close_order,2019-04-10 18:02:15.175331
9013777,58667449,1.0,close_order,2019-04-10 18:02:16.309964
9013777,58667458,1.0,close_order,2019-04-10 18:02:17.172700
9013777,58668222,1.0,add_order,2019-04-10 19:09:16.294688
9013777,58668222,1.0,close_order,2019-04-10 19:09:22.277278
9013777,58669596,1.0,add_order,2019-04-10 20:04:40.416616
9013777,58669599,1.0,add_order,2019-04-10 20:04:43.980497
9013777,58669599,1.0,close_order,2019-04-10 20:04:48.621986
9013777,58669596,1.0,close_order,2019-04-10 20:04:51.753994
9013777,58669610,1.0,add_order,2019-04-10 20:04:53.906291
9013777,58669614,1.0,add_order,2019-04-10 20:04:58.538805
9013777,58669614,1.0,close_order,2019-04-10 20:05:02.942392
9013777,58669610,1.0,close_order,2019-04-10 20:05:06.765774
9013777,58669628,1.0,add_order,2019-04-10 20:05:09.728334
9013777,58669628,1.0,close_order,2019-04-10 20:05:13.934243
9013777,58669637,1.0,add_order,2019-04-10 20:05:16.404456
9013777,58669639,1.0,add_order,2019-04-10 20:05:19.527958
9013777,58669643,1.0,add_order,2019-04-10 20:05:20.865724
9013777,58669637,1.0,close_order,2019-04-10 20:05:24.202168
9013777,58669639,1.0,close_order,2019-04-10 20:05:28.326842
9013777,58669643,1.0,close_order,2019-04-10 20:05:30.978992
