Type, Price, quantity, date
YMH9, 26065.0, 1, 2019-02-25 11:36:38
YMH9, 26065.0, 1, 2019-02-25 11:36:39
YMH9, 26064.0, 1, 2019-02-25 11:36:39
YMH9, 26064.0, 1, 2019-02-25 11:36:41
YMH9, 26064.0, 1, 2019-02-25 11:36:42
YMH9, 26064.0, 1, 2019-02-25 11:36:43
YMH9, 26064.0, 1, 2019-02-25 11:36:44
YMH9, 26064.0, 1, 2019-02-25 11:36:45
YMH9, 26064.0, 1, 2019-02-25 11:36:47
YMH9, 26064.0, 1, 2019-02-25 11:36:48
YMH9, 26064.0, 1, 2019-02-25 11:36:49
YMH9, 26064.0, 1, 2019-02-25 11:36:51
YMH9, 26064.0, 1, 2019-02-25 11:36:53
YMH9, 26062.0, 2, 2019-02-25 11:36:56
YMH9, 26062.0, 2, 2019-02-25 11:36:57
YMH9, 26062.0, 2, 2019-02-25 11:36:58
YMH9, 26062.0, 1, 2019-02-25 11:36:59
YMH9, 26062.0, 1, 2019-02-25 11:37:01
YMH9, 26062.0, 1, 2019-02-25 11:37:02
YMH9, 26062.0, 1, 2019-02-25 11:37:03
YMH9, 26062.0, 1, 2019-02-25 11:37:04
YMH9, 26062.0, 1, 2019-02-25 11:37:05
YMH9, 26062.0, 1, 2019-02-25 11:37:06
YMH9, 26062.0, 1, 2019-02-25 11:37:07
YMH9, 26062.0, 1, 2019-02-25 11:37:08
YMH9, 26062.0, 1, 2019-02-25 11:37:09
YMH9, 26062.0, 1, 2019-02-25 11:37:10
YMH9, 26062.0, 1, 2019-02-25 11:37:13
YMH9, 26062.0, 1, 2019-02-25 11:37:15
YMH9, 26062.0, 1, 2019-02-25 11:37:16
YMH9, 26062.0, 1, 2019-02-25 11:37:17
YMH9, 26062.0, 1, 2019-02-25 11:37:18
YMH9, 26062.0, 1, 2019-02-25 11:37:19
YMH9, 26062.0, 1, 2019-02-25 11:37:20
YMH9, 26061.0, 1, 2019-02-25 11:37:21
YMH9, 26061.0, 1, 2019-02-25 11:37:22
YMH9, 26061.0, 1, 2019-02-25 11:37:24
YMH9, 26061.0, 1, 2019-02-25 11:37:27
YMH9, 26061.0, 1, 2019-02-25 11:37:28
YMH9, 26061.0, 1, 2019-02-25 11:37:29
YMH9, 26063.0, 1, 2019-02-25 11:37:30
YMH9, 26063.0, 1, 2019-02-25 11:37:32
YMH9, 26063.0, 1, 2019-02-25 11:37:34
YMH9, 26063.0, 1, 2019-02-25 11:37:35
YMH9, 26064.0, 3, 2019-02-25 11:37:37
YMH9, 26065.0, 1, 2019-02-25 11:37:38
YMH9, 26065.0, 1, 2019-02-25 11:37:39
YMH9, 26066.0, 1, 2019-02-25 11:37:40
YMH9, 26066.0, 1, 2019-02-25 11:37:41
YMH9, 26066.0, 1, 2019-02-25 11:37:43
YMH9, 26066.0, 1, 2019-02-25 11:37:44
YMH9, 26066.0, 1, 2019-02-25 11:37:45
YMH9, 26066.0, 1, 2019-02-25 11:37:46
YMH9, 26066.0, 1, 2019-02-25 11:37:48
YMH9, 26066.0, 1, 2019-02-25 11:37:49
YMH9, 26066.0, 1, 2019-02-25 11:37:50
YMH9, 26066.0, 1, 2019-02-25 11:37:52
YMH9, 26066.0, 1, 2019-02-25 11:37:53
YMH9, 26066.0, 1, 2019-02-25 11:37:54
YMH9, 26066.0, 1, 2019-02-25 11:37:56
YMH9, 26066.0, 1, 2019-02-25 11:37:58
YMH9, 26066.0, 1, 2019-02-25 11:37:59
YMH9, 26066.0, 1, 2019-02-25 11:38:00
YMH9, 26066.0, 1, 2019-02-25 11:38:01
YMH9, 26066.0, 1, 2019-02-25 11:38:02
YMH9, 26067.0, 1, 2019-02-25 11:38:04
YMH9, 26068.0, 2, 2019-02-25 11:38:05
YMH9, 26068.0, 2, 2019-02-25 11:38:06
YMH9, 26067.0, 1, 2019-02-25 11:38:07
YMH9, 26067.0, 1, 2019-02-25 11:38:08
YMH9, 26067.0, 1, 2019-02-25 11:38:09
YMH9, 26067.0, 1, 2019-02-25 11:38:10
YMH9, 26067.0, 1, 2019-02-25 11:38:11
YMH9, 26067.0, 1, 2019-02-25 11:38:12
YMH9, 26067.0, 1, 2019-02-25 11:38:13
YMH9, 26067.0, 1, 2019-02-25 11:38:14
YMH9, 26067.0, 1, 2019-02-25 11:38:15
YMH9, 26067.0, 1, 2019-02-25 11:38:16
YMH9, 26067.0, 1, 2019-02-25 11:38:17
YMH9, 26067.0, 1, 2019-02-25 11:38:18
YMH9, 26067.0, 1, 2019-02-25 11:38:19
YMH9, 26067.0, 1, 2019-02-25 11:38:21
YMH9, 26067.0, 1, 2019-02-25 11:38:22
YMH9, 26067.0, 1, 2019-02-25 11:38:23
YMH9, 26067.0, 1, 2019-02-25 11:38:24
YMH9, 26067.0, 1, 2019-02-25 11:38:25
YMH9, 26067.0, 1, 2019-02-25 11:38:26
YMH9, 26067.0, 1, 2019-02-25 11:38:27
YMH9, 26067.0, 1, 2019-02-25 11:38:28
YMH9, 26067.0, 1, 2019-02-25 11:38:29
YMH9, 26067.0, 1, 2019-02-25 11:38:30
YMH9, 26067.0, 1, 2019-02-25 11:38:31
YMH9, 26067.0, 1, 2019-02-25 11:38:33
YMH9, 26068.0, 1, 2019-02-25 11:38:35
YMH9, 26067.0, 1, 2019-02-25 11:38:36
YMH9, 26067.0, 1, 2019-02-25 11:38:39
YMH9, 26067.0, 1, 2019-02-25 11:38:40
YMH9, 26067.0, 1, 2019-02-25 11:38:42
YMH9, 26067.0, 1, 2019-02-25 11:38:43
YMH9, 26067.0, 1, 2019-02-25 11:38:44
YMH9, 26067.0, 1, 2019-02-25 11:38:45
YMH9, 26067.0, 1, 2019-02-25 11:38:48
YMH9, 26067.0, 1, 2019-02-25 11:38:49
YMH9, 26067.0, 1, 2019-02-25 11:38:51
YMH9, 26067.0, 1, 2019-02-25 11:38:53
YMH9, 26066.0, 5, 2019-02-25 11:38:56
YMH9, 26066.0, 5, 2019-02-25 11:38:58
YMH9, 26066.0, 5, 2019-02-25 11:39:00
YMH9, 26066.0, 5, 2019-02-25 11:39:01
YMH9, 26066.0, 5, 2019-02-25 11:39:02
YMH9, 26066.0, 5, 2019-02-25 11:39:03
YMH9, 26066.0, 5, 2019-02-25 11:39:04
YMH9, 26066.0, 5, 2019-02-25 11:39:05
YMH9, 26066.0, 5, 2019-02-25 11:39:06
YMH9, 26066.0, 5, 2019-02-25 11:39:07
YMH9, 26066.0, 5, 2019-02-25 11:39:08
YMH9, 26066.0, 5, 2019-02-25 11:39:09
YMH9, 26066.0, 5, 2019-02-25 11:39:10
YMH9, 26066.0, 5, 2019-02-25 11:39:11
YMH9, 26067.0, 1, 2019-02-25 11:39:13
YMH9, 26067.0, 1, 2019-02-25 11:39:14
YMH9, 26066.0, 1, 2019-02-25 11:39:15
YMH9, 26066.0, 1, 2019-02-25 11:39:16
YMH9, 26066.0, 1, 2019-02-25 11:39:17
YMH9, 26066.0, 1, 2019-02-25 11:39:18
YMH9, 26066.0, 1, 2019-02-25 11:39:19
YMH9, 26066.0, 1, 2019-02-25 11:39:21
YMH9, 26066.0, 1, 2019-02-25 11:39:24
YMH9, 26066.0, 1, 2019-02-25 11:39:26
YMH9, 26066.0, 1, 2019-02-25 11:39:27
YMH9, 26066.0, 1, 2019-02-25 11:39:29
YMH9, 26066.0, 1, 2019-02-25 11:39:30
YMH9, 26066.0, 1, 2019-02-25 11:39:32
YMH9, 26066.0, 1, 2019-02-25 11:39:33
YMH9, 26066.0, 1, 2019-02-25 11:39:34
YMH9, 26067.0, 1, 2019-02-25 11:39:35
YMH9, 26067.0, 1, 2019-02-25 11:39:36
YMH9, 26067.0, 1, 2019-02-25 11:39:37
YMH9, 26067.0, 1, 2019-02-25 11:39:41
YMH9, 26066.0, 1, 2019-02-25 11:39:43
YMH9, 26065.0, 1, 2019-02-25 11:39:43
YMH9, 26065.0, 1, 2019-02-25 11:39:45
YMH9, 26064.0, 1, 2019-02-25 11:39:46
YMH9, 26064.0, 1, 2019-02-25 11:39:47
YMH9, 26064.0, 1, 2019-02-25 11:39:48
YMH9, 26064.0, 1, 2019-02-25 11:39:50
YMH9, 26064.0, 1, 2019-02-25 11:39:53
YMH9, 26064.0, 1, 2019-02-25 11:39:54
YMH9, 26064.0, 1, 2019-02-25 11:39:55
YMH9, 26064.0, 1, 2019-02-25 11:39:56
YMH9, 26064.0, 1, 2019-02-25 11:39:57
YMH9, 26064.0, 1, 2019-02-25 11:39:58
YMH9, 26064.0, 1, 2019-02-25 11:40:00
YMH9, 26064.0, 1, 2019-02-25 11:40:01
YMH9, 26064.0, 1, 2019-02-25 11:40:06
YMH9, 26066.0, 3, 2019-02-25 11:40:09
YMH9, 26066.0, 3, 2019-02-25 11:40:10
YMH9, 26065.0, 1, 2019-02-25 11:40:11
YMH9, 26065.0, 1, 2019-02-25 11:40:12
YMH9, 26065.0, 1, 2019-02-25 11:40:14
YMH9, 26065.0, 1, 2019-02-25 11:40:16
YMH9, 26065.0, 1, 2019-02-25 11:40:20
YMH9, 26065.0, 1, 2019-02-25 11:40:21
YMH9, 26065.0, 1, 2019-02-25 11:40:23
YMH9, 26065.0, 1, 2019-02-25 11:40:24
YMH9, 26065.0, 1, 2019-02-25 11:40:25
YMH9, 26065.0, 1, 2019-02-25 11:40:28
YMH9, 26065.0, 1, 2019-02-25 11:40:29
YMH9, 26065.0, 1, 2019-02-25 11:40:33
YMH9, 26065.0, 1, 2019-02-25 11:40:34
YMH9, 26065.0, 1, 2019-02-25 11:40:40
YMH9, 26065.0, 1, 2019-02-25 11:40:41
YMH9, 26065.0, 1, 2019-02-25 11:40:42
YMH9, 26066.0, 2, 2019-02-25 11:40:43
YMH9, 26066.0, 2, 2019-02-25 11:40:47
YMH9, 26066.0, 2, 2019-02-25 11:40:48
YMH9, 26064.0, 1, 2019-02-25 11:40:50
YMH9, 26064.0, 1, 2019-02-25 11:40:51
YMH9, 26064.0, 1, 2019-02-25 11:40:55
YMH9, 26064.0, 1, 2019-02-25 11:40:56
YMH9, 26064.0, 1, 2019-02-25 11:40:59
YMH9, 26064.0, 1, 2019-02-25 11:41:00
YMH9, 26064.0, 1, 2019-02-25 11:41:01
YMH9, 26064.0, 1, 2019-02-25 11:41:02
YMH9, 26064.0, 1, 2019-02-25 11:41:03
YMH9, 26064.0, 1, 2019-02-25 11:41:04
YMH9, 26064.0, 1, 2019-02-25 11:41:05
YMH9, 26064.0, 1, 2019-02-25 11:41:06
YMH9, 26064.0, 1, 2019-02-25 11:41:07
YMH9, 26063.0, 1, 2019-02-25 11:41:07
YMH9, 26063.0, 1, 2019-02-25 11:41:09
YMH9, 26063.0, 1, 2019-02-25 11:41:10
YMH9, 26063.0, 1, 2019-02-25 11:41:11
YMH9, 26063.0, 1, 2019-02-25 11:41:12
YMH9, 26063.0, 1, 2019-02-25 11:41:13
YMH9, 26063.0, 1, 2019-02-25 11:41:14
YMH9, 26063.0, 1, 2019-02-25 11:41:15
YMH9, 26063.0, 1, 2019-02-25 11:41:17
YMH9, 26063.0, 1, 2019-02-25 11:41:19
YMH9, 26063.0, 1, 2019-02-25 11:41:20
YMH9, 26063.0, 1, 2019-02-25 11:41:22
YMH9, 26063.0, 1, 2019-02-25 11:41:24
YMH9, 26063.0, 1, 2019-02-25 11:41:25
YMH9, 26063.0, 1, 2019-02-25 11:41:26
YMH9, 26063.0, 1, 2019-02-25 11:41:29
YMH9, 26063.0, 1, 2019-02-25 11:41:30
YMH9, 26063.0, 1, 2019-02-25 11:41:36
YMH9, 26062.0, 1, 2019-02-25 11:41:37
YMH9, 26063.0, 1, 2019-02-25 11:41:38
YMH9, 26063.0, 1, 2019-02-25 11:41:39
YMH9, 26063.0, 1, 2019-02-25 11:41:40
YMH9, 26063.0, 1, 2019-02-25 11:41:41
YMH9, 26063.0, 1, 2019-02-25 11:41:44
YMH9, 26063.0, 1, 2019-02-25 11:41:46
YMH9, 26063.0, 1, 2019-02-25 11:41:48
YMH9, 26064.0, 1, 2019-02-25 11:41:49
YMH9, 26064.0, 1, 2019-02-25 11:41:50
YMH9, 26064.0, 1, 2019-02-25 11:41:52
YMH9, 26064.0, 1, 2019-02-25 11:41:53
YMH9, 26064.0, 1, 2019-02-25 11:41:54
YMH9, 26064.0, 1, 2019-02-25 11:41:55
YMH9, 26064.0, 1, 2019-02-25 11:41:58
YMH9, 26064.0, 1, 2019-02-25 11:41:59
YMH9, 26064.0, 1, 2019-02-25 11:42:01
YMH9, 26064.0, 1, 2019-02-25 11:42:02
YMH9, 26064.0, 1, 2019-02-25 11:42:04
YMH9, 26064.0, 1, 2019-02-25 11:42:05
YMH9, 26064.0, 1, 2019-02-25 11:42:06
YMH9, 26064.0, 1, 2019-02-25 11:42:09
YMH9, 26064.0, 1, 2019-02-25 11:42:10
YMH9, 26064.0, 1, 2019-02-25 11:42:11
YMH9, 26064.0, 2, 2019-02-25 11:42:12
YMH9, 26065.0, 4, 2019-02-25 11:42:13
YMH9, 26065.0, 4, 2019-02-25 11:42:14
YMH9, 26065.0, 4, 2019-02-25 11:42:15
YMH9, 26065.0, 1, 2019-02-25 11:42:16
YMH9, 26065.0, 1, 2019-02-25 11:42:17
YMH9, 26065.0, 1, 2019-02-25 11:42:18
YMH9, 26065.0, 1, 2019-02-25 11:42:19
YMH9, 26065.0, 1, 2019-02-25 11:42:21
YMH9, 26065.0, 1, 2019-02-25 11:42:22
YMH9, 26065.0, 1, 2019-02-25 11:42:23
YMH9, 26065.0, 1, 2019-02-25 11:42:24
YMH9, 26065.0, 1, 2019-02-25 11:42:25
YMH9, 26067.0, 1, 2019-02-25 11:42:26
YMH9, 26067.0, 1, 2019-02-25 11:42:27
YMH9, 26067.0, 1, 2019-02-25 11:42:28
YMH9, 26067.0, 1, 2019-02-25 11:42:29
YMH9, 26067.0, 1, 2019-02-25 11:42:30
YMH9, 26067.0, 1, 2019-02-25 11:42:33
YMH9, 26067.0, 1, 2019-02-25 11:42:35
YMH9, 26067.0, 1, 2019-02-25 11:42:37
YMH9, 26067.0, 1, 2019-02-25 11:42:38
YMH9, 26067.0, 1, 2019-02-25 11:42:39
YMH9, 26066.0, 1, 2019-02-25 11:42:41
YMH9, 26066.0, 1, 2019-02-25 11:42:42
YMH9, 26066.0, 1, 2019-02-25 11:42:43
YMH9, 26067.0, 1, 2019-02-25 11:42:46
YMH9, 26067.0, 1, 2019-02-25 11:42:47
YMH9, 26067.0, 1, 2019-02-25 11:42:48
YMH9, 26067.0, 1, 2019-02-25 11:42:51
YMH9, 26067.0, 1, 2019-02-25 11:42:52
YMH9, 26067.0, 1, 2019-02-25 11:42:53
YMH9, 26067.0, 1, 2019-02-25 11:42:54
YMH9, 26067.0, 1, 2019-02-25 11:42:55
YMH9, 26067.0, 1, 2019-02-25 11:42:57
YMH9, 26067.0, 1, 2019-02-25 11:42:59
YMH9, 26067.0, 1, 2019-02-25 11:43:01
YMH9, 26067.0, 1, 2019-02-25 11:43:03
YMH9, 26068.0, 2, 2019-02-25 11:43:07
YMH9, 26068.0, 2, 2019-02-25 11:43:09
YMH9, 26068.0, 2, 2019-02-25 11:43:10
YMH9, 26068.0, 2, 2019-02-25 11:43:13
YMH9, 26068.0, 2, 2019-02-25 11:43:14
YMH9, 26068.0, 2, 2019-02-25 11:43:15
YMH9, 26067.0, 1, 2019-02-25 11:43:15
YMH9, 26067.0, 1, 2019-02-25 11:43:17
YMH9, 26067.0, 1, 2019-02-25 11:43:22
YMH9, 26067.0, 1, 2019-02-25 11:43:23
YMH9, 26067.0, 1, 2019-02-25 11:43:24
YMH9, 26067.0, 1, 2019-02-25 11:43:26
YMH9, 26067.0, 1, 2019-02-25 11:43:27
YMH9, 26067.0, 1, 2019-02-25 11:43:28
YMH9, 26067.0, 1, 2019-02-25 11:43:29
YMH9, 26067.0, 1, 2019-02-25 11:43:30
YMH9, 26067.0, 1, 2019-02-25 11:43:32
YMH9, 26067.0, 1, 2019-02-25 11:43:34
YMH9, 26067.0, 3, 2019-02-25 11:43:35
YMH9, 26067.0, 3, 2019-02-25 11:43:37
YMH9, 26066.0, 1, 2019-02-25 11:43:38
YMH9, 26066.0, 1, 2019-02-25 11:43:39
YMH9, 26066.0, 1, 2019-02-25 11:43:40
YMH9, 26066.0, 1, 2019-02-25 11:43:42
YMH9, 26066.0, 2, 2019-02-25 11:43:43
YMH9, 26066.0, 2, 2019-02-25 11:43:44
YMH9, 26066.0, 2, 2019-02-25 11:43:47
YMH9, 26066.0, 2, 2019-02-25 11:43:49
YMH9, 26066.0, 2, 2019-02-25 11:43:52
YMH9, 26066.0, 2, 2019-02-25 11:43:55
YMH9, 26066.0, 2, 2019-02-25 11:43:56
YMH9, 26066.0, 1, 2019-02-25 11:43:58
YMH9, 26066.0, 1, 2019-02-25 11:43:59
YMH9, 26066.0, 1, 2019-02-25 11:44:00
YMH9, 26066.0, 1, 2019-02-25 11:44:01
YMH9, 26066.0, 1, 2019-02-25 11:44:02
YMH9, 26066.0, 1, 2019-02-25 11:44:03
YMH9, 26066.0, 1, 2019-02-25 11:44:05
YMH9, 26066.0, 1, 2019-02-25 11:44:06
YMH9, 26066.0, 1, 2019-02-25 11:44:07
YMH9, 26065.0, 1, 2019-02-25 11:44:08
YMH9, 26065.0, 1, 2019-02-25 11:44:09
YMH9, 26065.0, 1, 2019-02-25 11:44:12
YMH9, 26065.0, 1, 2019-02-25 11:44:14
YMH9, 26065.0, 1, 2019-02-25 11:44:16
YMH9, 26065.0, 1, 2019-02-25 11:44:19
YMH9, 26065.0, 1, 2019-02-25 11:44:20
YMH9, 26065.0, 1, 2019-02-25 11:44:21
YMH9, 26065.0, 1, 2019-02-25 11:44:23
YMH9, 26065.0, 1, 2019-02-25 11:44:24
YMH9, 26065.0, 1, 2019-02-25 11:44:25
YMH9, 26065.0, 1, 2019-02-25 11:44:26
YMH9, 26065.0, 1, 2019-02-25 11:44:27
YMH9, 26065.0, 1, 2019-02-25 11:44:28
YMH9, 26065.0, 1, 2019-02-25 11:44:30
YMH9, 26065.0, 1, 2019-02-25 11:44:31
YMH9, 26065.0, 1, 2019-02-25 11:44:32
YMH9, 26065.0, 1, 2019-02-25 11:44:34
YMH9, 26065.0, 1, 2019-02-25 11:44:38
YMH9, 26065.0, 1, 2019-02-25 11:44:40
YMH9, 26065.0, 1, 2019-02-25 11:44:43
YMH9, 26065.0, 1, 2019-02-25 11:44:44
YMH9, 26065.0, 1, 2019-02-25 11:44:45
YMH9, 26065.0, 1, 2019-02-25 11:44:46
YMH9, 26066.0, 1, 2019-02-25 11:44:47
YMH9, 26066.0, 1, 2019-02-25 11:44:48
YMH9, 26066.0, 1, 2019-02-25 11:44:49
YMH9, 26066.0, 1, 2019-02-25 11:44:50
YMH9, 26066.0, 1, 2019-02-25 11:44:51
YMH9, 26066.0, 2, 2019-02-25 11:44:52
YMH9, 26066.0, 2, 2019-02-25 11:44:54
YMH9, 26066.0, 2, 2019-02-25 11:44:55
YMH9, 26066.0, 2, 2019-02-25 11:44:56
YMH9, 26066.0, 2, 2019-02-25 11:44:59
YMH9, 26066.0, 2, 2019-02-25 11:45:00
YMH9, 26067.0, 1, 2019-02-25 11:45:01
YMH9, 26067.0, 1, 2019-02-25 11:45:02
YMH9, 26067.0, 1, 2019-02-25 11:45:03
YMH9, 26067.0, 1, 2019-02-25 11:45:05
YMH9, 26067.0, 1, 2019-02-25 11:45:06
YMH9, 26067.0, 1, 2019-02-25 11:45:08
YMH9, 26067.0, 1, 2019-02-25 11:45:09
YMH9, 26067.0, 1, 2019-02-25 11:45:10
YMH9, 26067.0, 1, 2019-02-25 11:45:11
YMH9, 26067.0, 1, 2019-02-25 11:45:14
